Action;Cód. Cliente;Cliente;Razón Social;Cód. Sector;Sector;Cód. CR;Activo;Cód. Interno;Cecos;Nombre Instalación;Tipo Gasto;Cód. Centralización;Tipo Servicio;Inicio;Término;StandBy;Área Funcional;Dirección Principal;Comuna;Dirección Adicional;Latitud;Longitud;Tipo Tolerancia Entrada Laboral Temprana;Tolerancia Entrada Laboral Temprana;Tipo Tolerancia Entrada Laboral Tardía;Tolerancia Entrada Laboral Tardía;Tipo Máx. Atraso.;Máx. Atraso;Tipo Tolerancia Salida Laboral Temprana;Tolerancia Salida Laboral Temprana;Tipo Tolerancia Salida Laboral Tardía;Tolerancia Salida Laboral Tardía;Tipo Máx. Tiempo Extra Permitido;Máx Tiempo Extra Permitido;Correo de copia factura;Tolerancia Metros Distancia Faceid;Nombre de Contacto;Teléfono;Email Contacto;Máx. Hr. Extra MismoTurno;Máx Hr. Traslape Mismo Turno;¿Cola. Día?;¿Cola. Noche?;¿Generar PPC?;¿Ausent. Autom.?;¿AS Autom. Al Crear Rol?;Permite TVF;Valor TVF;I_OBSERVACIONES;Teléfono 1;Teléfono 2;Bomberos;Mutual;Carabineros;Ambulancia;Teléfonos Autorizados IVR;Planner;Encargado;Controller;Cantidad Colab. Cecos.;Cantidad Colab. Rol.;Correo Solicitud Qr
crear,eliminar,modificar;1;Gard Security;Gard SpA;13;Región Metropolitana;1;SI;;1-13-1;Gard;;;Cecos Interno (no venta);01-06-2024;;NO;;Camino los Trapenses 2140;Lo Barnechea (Santiago);;-33,355538;-70,539903;General;45;General;0;General;60;General;0;General;15;General;0;;1000;;;;0,00;0,00;NO;NO;SI;NO;NO;SI;;;0;0;132;1407;133;131;;;;;8;7;
crear,eliminar,modificar;3;SCRB;SCRB Ingenieria y Construcción y Cía. Ltda.;13;Región Metropolitana;2;SI;;3-13-2;San Bernardo;;;Cecos Interno (no venta);25-09-2025;;NO;;Los suspiros 16690;San Bernardo (Maipo);;-33,613971;-70,688615;General;45;General;0;General;60;General;0;General;15;General;0;;1000;;;;0,00;0,00;NO;NO;SI;NO;NO;SI;;;0;0;132;1407;133;131;;;;;4;4;
crear,eliminar,modificar;4;Condominio La Florida;Condominio Alto Lo Cañas;13;Región Metropolitana;1;SI;;4-13-1;Condominio la Florida;;;;01-06-2024;;NO;;Sanchez Fontecilla 7816;La Florida (Santiago);;-33,525306;-70,555583;General;45;General;0;General;60;General;0;General;15;General;0;;1000;;;;0,00;0,00;NO;NO;SI;NO;NO;SI;;;;;132;1407;133;131;;;;;4;4;
crear,eliminar,modificar;5;Transmat;Transmat;2;Región de Antofagasta;1;SI;;5-2-1;Transmat;;;;07-06-2024;;NO;;Héctor Gómez Cobo 286;Antofagasta (Antofagasta);;-23,656438;-70,396055;General;45;General;0;General;60;General;0;General;15;General;0;;1000;;;;0,00;0,00;NO;NO;SI;NO;NO;SI;;;;;132;1407;133;131;;;;;3;3;
crear,eliminar,modificar;6;Delegación Presidencial Chañaral;Delegación Presidencial Chañaral;3;Región de Atacama;1;SI;;6-3-1;Chañaral;;;;01-07-2024;;NO;;Zuleta 462;Chañaral (Chañaral);;-26,345049;-70,615287;General;45;General;0;General;60;General;0;General;15;General;0;;1000;;;;0,00;0,00;NO;NO;SI;NO;NO;SI;;;;;132;1407;133;131;;;;;4;4;
crear,eliminar,modificar;7;FMT Bbosch;FMT Bbosch;6;Región del Libertador General Bernardo OHiggins;1;SI;1;7-6-1;FMT;;;;12-07-2024;;NO;;Calle Madrid 344;Rancagua (Cachapoal);;-34,163285;-70,736199;General;45;General;0;General;60;General;0;General;15;General;0;;1000;;;;0,00;0,00;NO;NO;SI;NO;NO;SI;;;;;132;1407;133;131;;;;;0;0;
crear,eliminar,modificar;9;POLPAICO;CEMENTO POLPAICO;2;Región de Antofagasta;1;SI;;9-2-1;Polpaico Mejillones ;;;;13-01-2025;;NO;;Longitudinal 2500, barrio industrial, Mejillones;Mejillones (Antofagasta);;-23,095286;-70,413909;General;45;General;0;General;60;General;0;General;15;General;0;;1000;;;;0,00;0,00;NO;NO;SI;NO;NO;SI;;;;;132;1407;133;131;;;;;6;6;
crear,eliminar,modificar;9;POLPAICO;CEMENTO POLPAICO;8;Región del Biobío;1;SI;1;9-8-1;Coronel;;;;01-08-2025;;NO;;Golfo de arauco 3561;Coronel (Concepción);;-36,967963;-73,167307;General;45;General;0;General;60;General;0;General;15;General;0;;1000;;;;0,00;0,00;NO;NO;SI;NO;NO;SI;;;;;132;1407;133;131;;;;;8;8;
crear,eliminar,modificar;9;POLPAICO;CEMENTO POLPAICO;13;Región Metropolitana;1;SI;;9-13-1;El Bosque;;;;15-08-2024;;NO;;Avda. Ochagavía 17750, El Bosque, Santiago;El Bosque (Santiago);;-33,572702;-70,700697;General;45;General;0;General;60;General;0;General;15;General;0;;1000;;;;0,00;0,00;NO;NO;SI;NO;NO;SI;;;;;132;1407;133;131;;;;;6;7;
crear,eliminar,modificar;9;POLPAICO;CEMENTO POLPAICO;13;Región Metropolitana;2;SI;;9-13-2;Quilicura;;;;20-01-2025;;NO;;Av. Pdte. Eduardo Frei Montalva 5690;Quilicura (Santiago);;-33,379317;-70,695171;General;45;General;0;General;60;General;0;General;15;General;0;;1000;;;;20,00;20,00;NO;NO;SI;NO;NO;SI;;;0;0;132;1407;133;131;;;;;10;10;
