Credit Note Date,Issued Date,Product ID,Issued Date,CreditNotes ID,Credit Note Number,Credit Note Status,Accounts Receivable,Customer Name,Customer Number,Billing Attention,Billing Address,Billing Street 2,Billing City,Billing State,Billing Country,Billing Code,Billing Phone,Billing Fax,Shipping Attention,Shipping Address,Shipping Street 2,Shipping City,Shipping State,Shipping Country,Shipping Phone,Shipping Code,Shipping Fax,Customer ID,Currency Code,Exchange Rate,Is Inclusive Tax,Total,Balance,Entity Discount Percent,Notes,Terms & Conditions,Reference#,Shipping Charge,Shipping Charge Tax ID,Shipping Charge Tax Amount,Shipping Charge Tax Name,Shipping Charge Tax %,Shipping Charge Tax Type,Cuenta de gastos de envío,Adjustment,Adjustment Account,Is Discount Before Tax,Item Name,Discount,Discount Amount,Quantity,Item Desc,Item Tax Amount,Item Total,Applied Invoice Number,Project ID,Project Name,Tax1 ID,Item Tax,Item Tax %,Item Tax Type,Sales person,Discount Type,SubTotal,Round Off,Adjustment Description,Subject,Template Name,Usage unit,Item Price,Account,Account Code,Entity Discount Amount,Kit Combo Item Name,CF.Tipo documento (DTE),CF.Tipo Nota de Crédito,CF.Folio NC,CF.Notificar NC,CF.Agregar observación,CF.RUT,CF.Comuna,CF.Ciudad,CF.Giro,CF.Dirección,CF.ID de NC,CF.Folio ND,CF.Fecha Emisión ND,CF.Tipo Nota de Débito,CF.ID de ND,CF.Notificar ND,CF.encryp NC,CF.encryp ND,CF.Documento Referencia NC,CF.Folio Referencia NC,CF.Fecha referencia NC,CF.Documento Referencia ND,CF.Fecha referencia ND,CF.Folio Referencia ND,CF.Resultado FE,CF.Descripción Resultado,CF.Código Estado SII,CF.Glosa Estado SII,CF.Resultado FE ND,CF.Descripción Resultado ND,CF.Código Estado SII ND,CF.Glosa Estado SII ND,CF.Track Id NC,CF.Track Id ND,CF.Observación SII NC,CF.Observación SII ND,CF.XML NC,CF.XML ND,CF.Giro DTE,CF.Log NC,CF.Log ND,CF.Resultado facturación NC,CF.Resultado facturación ND,CF.Descripción Resultado NC,CF.Resultado FE NC,CF.Código Estado SII NC,CF.Glosa Estado SII NC,CF.Código Estado Comercial NC,CF.Código Estado Mercadería NC,CF.Código Estado Comercial ND,CF.Código Estado Mercadería ND,CF.Fecha Consulta Dte ND,CF.Fecha Consulta Dte NC
2025-04-07,,4984177000004179001,,4984177000006500011,NC70-FA1330,Closed,Cuentas por cobrar,GL Events,CUS-00012,,,,,,,,,,,,,,,,,,,4984177000005263231,CLP,1,false,4906103,0,0.00,,,,0,,,,,,,0,,true,Servicio de Seguridad,0.00,0.00,1.00,"Marzo 2025
106 UF + IVA",783327,4122776,FA1330,4984177000005263416,GL Events - Metropolitan,4984177000000190108,IVA,19.00,ItemAmount,,item_level,4122776,0,Ajuste,,Standard Template,,4122776,Ventas,,0.0,,Nota Crédito (61),Anula Documento de Referencia,70,false,,77133707-4,VITACURA,Santiago,ACTIVIDADES DE RESTAURANTES Y DE SERVICI,M ESCRIVA DE BALAGUER 5600,,,,,,false,https://d1iwzdr0d2nlun.cloudfront.net/PDF_R77840623-3T61F70A1.pdf,,Factura afecta (33),1330,2025-03-20,,,,,,,,,,,,,,,,https://d1iwzdr0d2nlun.cloudfront.net/XMLSII_R77840623-3T61F70A1.xml,,,"
FECHA DE PROCESO : 07-04-2025 11:45:55
DOCUMENTO EN SII : ENVIADO
DOCUMENTO PDF : CREADO
DOCUMENTO XML : CREADO
PDF CREADO ADJUNTADO DTE : ADJUNTADO
DETALLE : DTE procesado correctamente.
",,Procesado correctamente,,,,,,,,,,,
2025-04-25,,,,4984177000006855236,NC71-FA1343,Closed,Cuentas por cobrar,FMT Bbosch,CUS-00003,,,,,,,,,,,,,,,,,,,4984177000001031001,CLP,1,false,1627490,0,0.00,,,,0,,,,,,,0,,true,,0.00,0.00,1.00,"Servicio de Seguridad
35 UF
Mes Abril",259851,1367639,FA1343,4984177000001684913,FMT,4984177000000190108,IVA,19.00,ItemAmount,,item_level,1367639,0,Ajuste,,Standard Template,,1367639,Ventas,,0.0,,Nota Crédito (61),Anula Documento de Referencia,71,false,,77729842-9,QUILICURA,SANTIAGO,INSTALACIONES ELECTRICAS,AMERICO VESPUCIO 2150,,,,,,false,https://d1iwzdr0d2nlun.cloudfront.net/PDF_R77840623-3T61F71A1.pdf,,Factura afecta (33),1343,2025-04-20,,,,,,,,,,,,,,,,https://d1iwzdr0d2nlun.cloudfront.net/XMLSII_R77840623-3T61F71A1.xml,,,"
FECHA DE PROCESO : 25-04-2025 10:00:21
DOCUMENTO EN SII : ENVIADO
DOCUMENTO PDF : CREADO
DOCUMENTO XML : CREADO
PDF CREADO ADJUNTADO DTE : ADJUNTADO
DETALLE : DTE procesado correctamente.
",,Procesado correctamente,,,,,,,,,,,
2025-04-25,,,,4984177000006855339,NC72-FA1342,Open,Cuentas por cobrar,Transmat,CUS-00001,,,,,,,,,,,,,,,,,,,4984177000000589049,CLP,1,false,1295952,1295952,0.00,,,,0,,,,,,,0,,true,,0.00,0.00,1.00,"Servicio Seguridad Febrero 2024
142 UF
Corresponde al 20% - 28 UF",206917,1089035,,4984177000000589265,Transmat,4984177000000190108,IVA,19.00,ItemAmount,,item_level,1089035,0,Ajuste,,Standard Template,,1089035,Ventas,,0.0,,Nota Crédito (61),Anula Documento de Referencia,72,false,,76270521-4,ANTOFAGASTA,ANTOFAGASTA,ALQUILER DE MAQUINARIA Y EQUIPO AGROPECU,CALLE RUTA DEL COBRE 320  0 SITIO 11 SEC.LA NEGR,,,,,,false,https://d1iwzdr0d2nlun.cloudfront.net/PDF_R77840623-3T61F72A1.pdf,,Factura afecta (33),1342,2025-03-20,,,,Estado DTE SII retornado correctamente.,TVAL,0,Documento Recibido por el SII. Datos Coinciden con los Registrados,,,,,,,,,https://d1iwzdr0d2nlun.cloudfront.net/XMLSII_R77840623-3T61F72A1.xml,,,"
FECHA DE PROCESO : 25-04-2025 10:30:28
DOCUMENTO EN SII : ENVIADO
DOCUMENTO PDF : CREADO
DOCUMENTO XML : CREADO
PDF CREADO ADJUNTADO DTE : ADJUNTADO
DETALLE : DTE procesado correctamente.
",,Procesado correctamente,,,,,,,,,,,
2025-04-29,,,,4984177000006959003,NC73-FE254,Closed,Cuentas por cobrar,Condominio Alta Vista II,CUS-00011,,,,,,,,,,,,,,,,,,,4984177000004237060,CLP,1,false,1934233,0,0.00,,,,0,,,,,,,0,,true,,0.00,0.00,1.00,"Asesoria de Seguridad
99 UF",0,1934233,FE254,4984177000004537084,Alta Vista II,4984177000000190090,Exento IVA,0.00,ItemAmount,,item_level,1934233,0,Ajuste,,Standard Template,,1934233,Ventas,,0.0,,Nota Crédito (61),Anula Documento de Referencia,73,false,,53322482-2,LA FLORIDA,SANTIAGO,ACTIVIDADES DE ORGANIZACIONES POLITICAS,CAMINO DEL MONTE 6150,,,,,,false,https://d1iwzdr0d2nlun.cloudfront.net/PDF_R77840623-3T61F73A1.pdf,,Factura exenta (34),254,2025-04-21,,,,Estado DTE SII retornado correctamente.,TVAL,0,Documento Recibido por el SII. Datos Coinciden con los Registrados,,,,,,,,,https://d1iwzdr0d2nlun.cloudfront.net/XMLSII_R77840623-3T61F73A1.xml,,,"
FECHA DE PROCESO : 29-04-2025 10:51:51
DOCUMENTO EN SII : ENVIADO
DOCUMENTO PDF : CREADO
DOCUMENTO XML : CREADO
PDF CREADO ADJUNTADO DTE : ADJUNTADO
DETALLE : DTE procesado correctamente.
",,Procesado correctamente,,,,,,,,,,,
2025-05-05,,4984177000004179001,,4984177000007087101,NC74-FA1348,Closed,Cuentas por cobrar,GL Events,CUS-00012,,,,,,,,,,,,,,,,,,,4984177000005263231,CLP,1,false,4930560,0,0.00,,,1348,0,,,,,,,0,,true,Servicio de Seguridad,0.00,0.00,1.00,"Mayo 2025
106 UF + IVA",787232,4143328,FA1348,4984177000005263416,GL Events - Metropolitan,4984177000000190108,IVA,19.00,ItemAmount,,item_level,4143328,0,Ajuste,,Standard Template,,4143328,Ventas,,0.0,,Nota Crédito (61),Anula Documento de Referencia,74,false,,77133707-4,VITACURA,Santiago,ACTIVIDADES DE RESTAURANTES Y DE SERVICI,M ESCRIVA DE BALAGUER 5600,,,,,,false,https://d1iwzdr0d2nlun.cloudfront.net/PDF_R77840623-3T61F74A1.pdf,,Factura afecta (33),1348,2025-05-01,,,,Estado DTE SII retornado correctamente.,TVAL,0,Documento Recibido por el SII. Datos Coinciden con los Registrados,,,,,,,,,https://d1iwzdr0d2nlun.cloudfront.net/XMLSII_R77840623-3T61F74A1.xml,,,"
FECHA DE PROCESO : 05-05-2025 10:35:04
DOCUMENTO EN SII : ENVIADO
DOCUMENTO PDF : CREADO
DOCUMENTO XML : CREADO
PDF CREADO ADJUNTADO DTE : ADJUNTADO
DETALLE : DTE procesado correctamente.
",,Procesado correctamente,,,,,,,,,,,
2025-05-05,,,,4984177000007087329,NC75-FA1345,Closed,Cuentas por cobrar,Transmat,CUS-00001,,,,,,,,,,,,,,,,,,,4984177000000589049,CLP,1,false,1295952,0,0.00,,,,0,,,,,,,0,,true,,0.00,0.00,1.00,"Servicio Seguridad Febrero 2025
142 UF
Corresponde al 20% - 28 UF",206917,1089035,FA1345,4984177000000589265,Transmat,4984177000000190108,IVA,19.00,ItemAmount,,item_level,1089035,0,Ajuste,,Standard Template,,1089035,Ventas,,0.0,,Nota Crédito (61),Anula Documento de Referencia,75,false,,76270521-4,ANTOFAGASTA,ANTOFAGASTA,ALQUILER DE MAQUINARIA Y EQUIPO AGROPECU,CALLE RUTA DEL COBRE 320  0 SITIO 11 SEC.LA NEGR,,,,,,false,https://d1iwzdr0d2nlun.cloudfront.net/PDF_R77840623-3T61F75A1.pdf,,Factura afecta (33),1345,2025-04-25,,,,Estado DTE SII retornado correctamente.,TVAL,0,Documento Recibido por el SII. Datos Coinciden con los Registrados,,,,,,,,,https://d1iwzdr0d2nlun.cloudfront.net/XMLSII_R77840623-3T61F75A1.xml,,,"
FECHA DE PROCESO : 05-05-2025 12:05:43
DOCUMENTO EN SII : ENVIADO
DOCUMENTO PDF : CREADO
DOCUMENTO XML : CREADO
PDF CREADO ADJUNTADO DTE : ADJUNTADO
DETALLE : DTE procesado correctamente.
",,Procesado correctamente,,,,,,,,,,,
2025-05-05,,4984177000004179001,,4984177000007087427,NC76-FA1339,Closed,Cuentas por cobrar,Newtree,CUS-00015,,,,,,,,,,,,,,,,,,,4984177000006414003,CLP,1,false,2557486,0,0.00,,,1339,0,,,,,,,0,,true,Servicio de Seguridad,0.00,0.00,1.00,"55 UF
Abril 2025",408338,2149148,FA1339,,,4984177000000190108,IVA,19.00,ItemAmount,,item_level,2149148,0,Ajuste,,Standard Template,,2149148,Ventas,,0.0,,Nota Crédito (61),Anula Documento de Referencia,76,false,,77873029-4,CONCEPCION,CONCEPCION,VENTA AL POR MAYOR DE ARTICULOS ELECTRIC,Av Los Carrera Poniente 301  T100,,,,,,false,https://d1iwzdr0d2nlun.cloudfront.net/PDF_R77840623-3T61F76A1.pdf,,Factura afecta (33),1339,2025-04-20,,,,,,,,,,,,,,,,https://d1iwzdr0d2nlun.cloudfront.net/XMLSII_R77840623-3T61F76A1.xml,,,"
FECHA DE PROCESO : 05-05-2025 12:28:12
DOCUMENTO EN SII : ENVIADO
DOCUMENTO PDF : CREADO
DOCUMENTO XML : CREADO
PDF CREADO ADJUNTADO DTE : ADJUNTADO
DETALLE : DTE procesado correctamente.
",,Procesado correctamente,,,,,,,,,,,
2025-05-26,,4984177000004179001,,4984177000007448003,NC77-FA1359,Closed,Cuentas por cobrar,Embajada Brasil,CUS-00013,,,,,,,,,,,,,,,,,,,4984177000006207055,CLP,1,false,23369917,0,0.00,,,,0,,,,,,,0,,true,Servicio de Seguridad,0.00,0.00,1.00,Mayo 2025,3731331,19638586,FA1359,4984177000006207086,Embajada Brasil,4984177000000190108,IVA,19.00,ItemAmount,,item_level,19638586,0,Ajuste,,Standard Template,,19638586,Ventas,,0.0,,Nota Crédito (61),Anula Documento de Referencia,77,false,,69900700-5,LAS CONDES,SANTIAGO,OTRAS ACTIVIDADES DE SERVICIOS PERSONALE,AV APOQUINDO 3039 OF 301,,,,,,false,https://d1iwzdr0d2nlun.cloudfront.net/PDF_R77840623-3T61F77A1.pdf,,Factura afecta (33),1359,2025-05-20,,,,Estado DTE SII retornado correctamente.,TVAL,0,Documento Recibido por el SII. Datos Coinciden con los Registrados,,,,,,,,,https://d1iwzdr0d2nlun.cloudfront.net/XMLSII_R77840623-3T61F77A1.xml,,,"
FECHA DE PROCESO : 26-05-2025 09:18:26
DOCUMENTO EN SII : ENVIADO
DOCUMENTO PDF : CREADO
DOCUMENTO XML : CREADO
PDF CREADO ADJUNTADO DTE : ADJUNTADO
DETALLE : DTE procesado correctamente.
",,Procesado correctamente,,,,,,,,,,,
2025-06-05,,4984177000004179001,,4984177000007671202,NC78-FA1365,Open,Cuentas por cobrar,GL Events,CUS-00012,,,,,,,,,,,,,,,,,,,4984177000005263231,CLP,1,false,4943931,4943931,0.00,,,,0,,,,,,,0,,true,Servicio de Seguridad,0.00,0.00,1.00,"Marzo 2025
106 UF + IVA",789367,4154564,,4984177000005263416,GL Events - Metropolitan,4984177000000190108,IVA,19.00,ItemAmount,,item_level,4154564,0,Ajuste,,Standard Template,,4154564,Ventas,,0.0,,Nota Crédito (61),Anula Documento de Referencia,78,false,,77133707-4,VITACURA,Santiago,ACTIVIDADES DE RESTAURANTES Y DE SERVICI,M ESCRIVA DE BALAGUER 5600,,,,,,false,https://d1iwzdr0d2nlun.cloudfront.net/PDF_R77840623-3T61F78A1.pdf,,Factura afecta (33),1365,2025-06-01,,,,Estado DTE SII retornado correctamente.,TVAL,0,Documento Recibido por el SII. Datos Coinciden con los Registrados,,,,,,,,,https://d1iwzdr0d2nlun.cloudfront.net/XMLSII_R77840623-3T61F78A1.xml,,,"
FECHA DE PROCESO : 05-06-2025 18:21:51
DOCUMENTO EN SII : ENVIADO
DOCUMENTO PDF : CREADO
DOCUMENTO XML : CREADO
PDF CREADO ADJUNTADO DTE : ADJUNTADO
DETALLE : DTE procesado correctamente.
",,Procesado correctamente,,,,,,,,,,,
2025-06-17,,4984177000004179001,,4984177000007896237,NC79-FA1374,Closed,Cuentas por cobrar,GL Events,CUS-00012,,,,,,,,,,,,,,,,,,,4984177000005263231,CLP,1,false,4953139,0,0.00,,,1374,0,,,,,,,0,,true,Servicio de Seguridad,0.00,0.00,1.00,"Marzo 2025
106 UF + IVA",790837,4162302,FA1374,4984177000005263416,GL Events - Metropolitan,4984177000000190108,IVA,19.00,ItemAmount,,item_level,4162302,0,,,Standard Template,,4162302,Ventas,,0.0,,Nota Crédito (61),Anula Documento de Referencia,79,false,,77133707-4,VITACURA,Santiago,ACTIVIDADES DE RESTAURANTES Y DE SERVICI,M ESCRIVA DE BALAGUER 5600,,,,,,false,https://d1iwzdr0d2nlun.cloudfront.net/PDF_R77840623-3T61F79A1.pdf,,Factura afecta (33),1374,2025-06-10,,,,Estado DTE SII retornado correctamente.,TVAL,0,Documento Recibido por el SII. Datos Coinciden con los Registrados,,,,,,,,,https://d1iwzdr0d2nlun.cloudfront.net/XMLSII_R77840623-3T61F79A1.xml,,,"
FECHA DE PROCESO : 17-06-2025 14:52:25
DOCUMENTO EN SII : ENVIADO
DOCUMENTO PDF : CREADO
DOCUMENTO XML : CREADO
PDF CREADO ADJUNTADO DTE : ADJUNTADO
DETALLE : DTE procesado correctamente.
",,Procesado correctamente,,,,,,,,,,,
